,ID,label,y_pred,y_pred_class
0,0,0,0.60829407,1
1,0,0,0.6960885,1
2,0,0,0.8159708,1
3,0,0,0.25090936,0
4,0,0,0.29008117,0
5,0,0,0.6076651,1
6,0,0,0.9080382,1
7,0,0,0.99278164,1
8,0,0,0.9995124,1
9,0,0,0.99987817,1
10,0,0,0.9999606,1
11,0,0,0.9999419,1
12,0,0,0.9999488,1
13,0,0,0.9999382,1
14,0,0,0.99987704,1
15,0,0,0.99972254,1
16,0,0,0.9992147,1
17,0,0,0.9953353,1
18,0,0,0.9881679,1
19,0,0,0.9936223,1
20,0,0,0.9839639,1
21,0,0,0.940111,1
22,0,0,0.9722498,1
23,0,0,0.8209463,1
24,0,0,0.15353946,0
