,ID,label,y_pred,y_pred_class
0,0,0,0.9996406991991624,1
1,0,0,0.9997991136994517,1
2,0,0,0.9998567457020311,1
3,0,0,0.9998662365791513,1
4,0,0,0.9998133921099274,1
5,0,0,0.9980759389544355,1
6,0,0,0.8106841366810126,1
7,0,0,0.2248662541756214,0
8,0,0,0.12509373921625688,0
9,0,0,0.11715609830471072,0
10,0,0,0.13188375388929094,0
11,0,0,0.11091360718957606,0
12,0,0,0.04160549730908729,0
13,0,0,0.016335940041234794,0
14,0,0,0.016420241958311498,0
15,0,0,0.015361957938189152,0
16,0,0,0.014615515650281777,0
17,0,0,0.05943802210670523,0
18,0,0,0.23465862097714563,0
19,0,0,0.1974510599173517,0
20,0,0,0.10043370806995278,0
21,0,0,0.06670214617700886,0
22,0,0,0.029688020905404445,0
23,0,0,0.06098761456752625,0
24,0,0,0.42388252736744425,0
