,ID,label,y_pred,y_pred_class
0,0,0,1.316530599479954e-09,0
1,0,0,2.3417349830019813e-08,0
2,0,0,6.654400591934996e-08,0
3,0,0,2.5276396490416424e-07,0
4,0,0,1.061392498818013e-06,0
5,0,0,6.353879181104122e-06,0
6,0,0,1.5013869400648217e-06,0
7,0,0,2.6089849e-08,0
8,0,0,6.268303e-09,0
9,0,0,1.4472109e-08,0
10,0,0,2.7381782e-07,0
11,0,0,4.478149e-05,0
12,0,0,0.0037621153,0
13,0,0,0.010597768,0
14,0,0,0.05106515,0
15,0,0,0.103772,0
16,0,0,0.2584525,0
17,0,0,0.38375515,0
18,0,0,0.33203337,0
19,0,0,0.54042506,1
20,0,0,0.5617171,1
21,0,0,0.7109017,1
22,0,0,0.90314436,1
23,0,0,0.989535,1
24,0,0,0.9872395,1
